Kolera (cholera)|A00
Andre sykdommer forårsaket av klamydia|A70-A74
Trakom|A71
Tidlig stadium  av trakom|A71.0
Aktivt stadium av trakom|A71.1
Uspesifisert trakom|A71.9
Andre sykdommer forårsaket av klamydia|A74
Klamydiakonjunktivitt (H13.1*)|A74.0†
conjunctivitis|A74.0†
conjunctivitt|A74.0†
konjunktivitt med klamydia|A74.0†
øyekatarr|A74.0†
Andre spesifiserte klamydiasykdommer|A74.8
Uspesifisert klamydiainfeksjon|A74.9
Flekktyfus overført ved lus, lopper og midd|A75
Rickettsioser|A75-A79
Epidemisk flekktyfus som skyldes Rickettsia prowazekii, overført ved lus|A75.0
Flekktyfus med gjenoppblussing [Brills sykdom]|A75.1
Flekktyfus som skyldes Rickettsia typhi|A75.2
Flekktyfus som skyldes Rickettsia tsutsugamushi|A75.3
Uspesifisert flekktyfus|A75.9
Flekkfeber [rickettsioser overført ved flått]|A77
rickettsiose flåttbåren|A77
rickettsiose overført ved flått|A77
Flekkfeber som skyldes Rickettsia rickettsii|A77.0
rickettsiose flåttbåren|A77.0
rickettsiose overført ved flått|A77.0
Flekkfeber som skyldes Rickettsia conorii|A77.1
rickettsiose flåttbåren|A77.1
rickettsiose overført ved flått|A77.1
Flekkfeber som skyldes Rickettsia siberica|A77.2
rickettsiose flåttbåren|A77.2
rickettsiose overført ved flått|A77.2
Flekkfeber som skyldes Rickettsia australis|A77.3
rickettsiose flåttbåren|A77.3
rickettsiose overført ved flått|A77.3
Annen spesifisert flekkfeber|A77.8
rickettsiose flåttbåren|A77.8
rickettsiose overført ved flått|A77.8
Uspesifisert flekkfeber|A77.9
rickettsiose flåttbåren|A77.9
rickettsiose overført ved flått|A77.9
Q-feber|A78
Andre rickettsioser|A79
Skyttergravsfeber|A79.0
Rickettsiainfeksjoner som skyldes Rickettsia akarii|A79.1
Andre spesifiserte rickettsioser|A79.8
Uspesifisert rickettsiose|A79.9
Akutt poliomyelitt|A80
myelitis|A80
ryggmargsbetennelse|A80
Virusinfeksjoner i sentralnervesystemet|A80-A89
Akutt poliomyelitt med lammelse forårsaket av vaksine|A80.0
myelitis|A80.0
ryggmargsbetennelse|A80.0
Akutt poliomyelitt med lammelse forårsaket av importerte ville virusstammer|A80.1
myelitis|A80.1
ryggmargsbetennelse|A80.1
Akutt poliomyelitt med lammelse forårsaket av ikke-importerte ville virusstammer|A80.2
myelitis|A80.2
ryggmargsbetennelse|A80.2
Annen og uspesifisert akutt poliomyelitt med lammelse|A80.3
myelitis|A80.3
ryggmargsbetennelse|A80.3
Akutt poliomyelitt uten lammelse|A80.4
myelitis|A80.4
ryggmargsbetennelse|A80.4
Uspesifisert akutt poliomyelitt|A80.9
myelitis|A80.9
polio|A80.9
poliomyelitt|A80.9
ryggmargsbetennelse|A80.9
Atypiske virusinfeksjoner i sentralnervesystemet|A81
Creutzfeldt-Jakobs sykdom|A81.0
bse|A81.0
creutzfeldt jakobs sykdom|A81.0
creutzfeldt-jakobs sykdom|A81.0
jakob-creutzfeldts sykdom|A81.0
Subakutt skleroserende panencefalitt|A81.1
betennelse i hjerne|A81.1
encephalitis|A81.1
hjernebetennelse|A81.1
sclerose|A81.1
sclerosis|A81.1
Progressiv multifokal leukoencefalopati|A81.2
encephalopathia|A81.2
hjerneskade|A81.2
hjernesklerose|A81.2
progressiv leukoencefalopati|A81.2
Andre spesifiserte atypiske virusinfeksjoner i sentralnervesystemet|A81.8
Uspesifisert atypisk virusinfeksjon i sentralnervesystemet|A81.9
Rabies [hundegalskap]|A82
hundegalskap|A82
Sylvatisk rabies|A82.0
hundegalskap|A82.0
Urban rabies|A82.1
hundegalskap|A82.1
Uspesifisert rabies|A82.9
hundegalskap|A82.9
Virusencefalitt  overført ved mygg|A83
betennelse i hjerne|A83
encephalitis|A83
hjernebetennelse|A83
virushjernebetennelse|A83
Japansk encefalitt|A83.0
betennelse i hjerne|A83.0
encephalitis|A83.0
hjernebetennelse|A83.0
Vestlig heste-encefalitt|A83.1
betennelse i hjerne|A83.1
encephalitis|A83.1
hjernebetennelse|A83.1
Østlig heste-encefalitt|A83.2
betennelse i hjerne|A83.2
eee|A83.2
encephalitis|A83.2
hjernebetennelse|A83.2
St Louis-encefalitt|A83.3
betennelse i hjerne|A83.3
encephalitis|A83.3
hjernebetennelse|A83.3
Australsk encefalitt|A83.4
betennelse i hjerne|A83.4
encephalitis|A83.4
hjernebetennelse|A83.4
Californisk encefalitt|A83.5
betennelse i hjerne|A83.5
encephalitis|A83.5
hjernebetennelse|A83.5
Rociovirussykdom|A83.6
Annen spesifisert virusencefalitt overført ved mygg|A83.8
betennelse i hjerne|A83.8
encephalitis|A83.8
hjernebetennelse|A83.8
virushjernebetennelse|A83.8
Uspesifisert virusencefalitt overført ved mygg|A83.9
betennelse i hjerne|A83.9
encephalitis|A83.9
hjernebetennelse|A83.9
virushjernebetennelse|A83.9
Virusencefalitt overført ved flått|A84
betennelse i hjerne|A84
encephalitis|A84
hjernebetennelse|A84
virusencefalitt flåttbåren|A84
virushjernebetennelse|A84
Orientalsk encefalitt overført ved flått [Russian spring-summer encephalitis][RSSE]|A84.0
betennelse i hjerne|A84.0
encephalitis|A84.0
hjernebetennelse|A84.0
rsse|A84.0
Sentraleuropeisk encefalitt overført ved flått|A84.1
betennelse i hjerne|A84.1
encephalitis|A84.1
hjernebetennelse|A84.1
Annen spesifisert virusencefalitt overført ved flått|A84.8
betennelse i hjerne|A84.8
encephalitis|A84.8
hjernebetennelse|A84.8
virusencefalitt flåttbåren|A84.8
virushjernebetennelse|A84.8
Uspesifisert virusencefalitt overført ved flått|A84.9
betennelse i hjerne|A84.9
encephalitis|A84.9
hjernebetennelse|A84.9
tbe|A84.9
virusencefalitt flåttbåren|A84.9
virushjernebetennelse|A84.9
Annen virusencefalitt, ikke klassifisert annet sted|A85
betennelse i hjerne|A85
encephalitis|A85
hjernebetennelse|A85
virushjernebetennelse|A85
Enterovirusencefalitt (G05.1*)|A85.0†
betennelse i hjerne|A85.0†
encephalitis|A85.0†
hjernebetennelse|A85.0†
virushjernebetennelse|A85.0†
Adenovirusencefalitt (G05.1*)|A85.1†
betennelse i hjerne|A85.1†
encephalitis|A85.1†
hjernebetennelse|A85.1†
virushjernebetennelse|A85.1†
Uspesifisert virusencefalitt overført ved artropoder|A85.2
betennelse i hjerne|A85.2
encephalitis|A85.2
hjernebetennelse|A85.2
leddyr|A85.2
virushjernebetennelse|A85.2
Annen spesifisert virusencefalitt|A85.8
betennelse i hjerne|A85.8
encephalitis|A85.8
hjernebetennelse|A85.8
virushjernebetennelse|A85.8
Uspesifisert virusencefalitt|A86
betennelse i hjerne|A86
encephalitis|A86
hjernebetennelse|A86
virushjernebetennelse|A86
Virusmeningitt|A87
hjernehinnebetennelse|A87
virushjernehinnebetennelse|A87
Enterovirusmeningitt (G02.0*)|A87.0†
hjernehinnebetennelse|A87.0†
virushjernehinnebetennelse|A87.0†
Adenovirusmeningitt (G02.0*)|A87.1†
hjernehinnebetennelse|A87.1†
virushjernehinnebetennelse|A87.1†
Lymfocyttisk choriomeningitt|A87.2
hjernehinnebetennelse|A87.2
Annen spesifisert virusmeningitt|A87.8
hjernehinnebetennelse|A87.8
virushjernehinnebetennelse|A87.8
Uspesifisert virusmeningitt|A87.9
hjernehinnebetennelse|A87.9
virushjernehinnebetennelse|A87.9
virusmeningitt|A87.9
Andre virusinfeksjoner i sentralnervesystemet, ikke klassifisert annet sted|A88
Enteroviral exsanthema og feber [Boston-eksantem]|A88.0
Smittsom svimmelhet (vertigo epidemica)|A88.1
vertigo|A88.1
Annen spesifisert virusinfeksjon i sentralnervesystemet|A88.8
Uspesifisert virusinfeksjon i sentralnervesystemet|A89
Denguefeber [klassisk dengue]|A90
dandyfeber|A90
dengue klassisk|A90
Virussykdommer overført ved artropoder  og viral hemoragisk feber|A90-A99
haemorrhagisk|A90-A99
hemorragisk|A90-A99
hemorrhagisk|A90-A99
leddyr|A90-A99
Hemoragisk  denguefeber (febris dengue haemorrhagica|A91
dandyfeber|A91
dengue klassisk|A91
haemorrhagisk|A91
hemorragisk|A91
hemorrhagisk|A91
Andre virussykdommer overført ved mygg|A92
Chikungunyavirussykdom|A92.0
O&#39;nyong-nyongfeber|A92.1
Venezuelansk hestefeber|A92.2
«West Nile»-virusinfeksjon|A92.3
«Rift Valley»-feber|A92.4
Andre spesifiserte virussykdommer overført ved mygg|A92.8
Uspesifisert virussykdom overført ved mygg|A92.9
Andre virussykdommer overført ved artropoder , ikke klassifisert annet sted|A93
leddyr|A93
Oropouchevirussykdom|A93.0
Sandfluefeber|A93.1
Coloradoflåttfeber|A93.2
Andre spesifiserte virussykdommer overført ved artropoder|A93.8
leddyr|A93.8
Uspesifisert virussykdom overført ved artropoder|A94
leddyr|A94
virussykdom leddyrbåren|A94
Gulfeber (febris flava)|A95
febris flava|A95
Sylvatisk gulfeber|A95.0
febris flava|A95.0
Urban gulfeber|A95.1
febris flava|A95.1
Uspesifisert gulfeber|A95.9
febris flava|A95.9
Hemoragisk  arenavirussykdom (febris haemorrhagica arenaviralis)|A96
haemorrhagisk|A96
hemorragisk|A96
hemorrhagisk|A96
Hemoragisk juninvirussykdom|A96.0
haemorrhagisk|A96.0
hemorragisk|A96.0
hemorrhagisk|A96.0
Hemoragisk machupovirussykdom|A96.1
haemorrhagisk|A96.1
hemorragisk|A96.1
hemorrhagisk|A96.1
Lassafeber|A96.2
Andre spesifiserte hemoragiske arenavirussykdommer|A96.8
haemorrhagisk|A96.8
hemorragisk|A96.8
hemorrhagisk|A96.8
Uspesifisert hemoragisk arenavirussykdom|A96.9
haemorrhagisk|A96.9
hemorragisk|A96.9
hemorrhagisk|A96.9
Annen hemoragisk  virussykdom, ikke klassifisert annet sted|A98
haemorrhagisk|A98
hemorragisk|A98
hemorrhagisk|A98
Hemoragisk krimfeber som skyldes Congo-CHF-virus|A98.0
haemorrhagisk|A98.0
hemorragisk|A98.0
hemorrhagisk|A98.0
Hemoragisk Omsk-feber|A98.1
haemorrhagisk|A98.1
hemorragisk|A98.1
hemorrhagisk|A98.1
Kyasanur Forest-sykdom|A98.2
Marburg-virussykdom|A98.3
Ebola-virussykdom|A98.4
Hemoragisk feber med renalt syndrom|A98.5
epidemisk nefropati|A98.5
haemorrhagisk|A98.5
hantavirussykdom|A98.5
hemorragisk|A98.5
hemorrhagisk|A98.5
Andre spesifiserte hemoragiske virussykdommer|A98.8
haemorrhagisk|A98.8
hemorragisk|A98.8
hemorrhagisk|A98.8
Uspesifisert hemoragisk  virussykdom|A99
haemorrhagisk|A99
hemorragisk|A99
hemorrhagisk|A99
Herpesvirusinfeksjoner [herpes simplex]-infeksjoner|B00
herpes|B00
Virusinfeksjoner kjennetegnet ved hud- og slimhinnelesjoner|B00-B09
cutan|B00-B09
kutan|B00-B09
Eczema herpeticum|B00.0
Vesikulær herpesdermatitt|B00.1
dermatitis|B00.1
eczema|B00.1
enantem|B00.1
utslett|B00.1
Herpetisk gingivostomatitt og faryngotonsillitt|B00.2
betennelse i mandel|B00.2
munnbetennelse|B00.2
stomatitis|B00.2
tonsillitis|B00.2
Herpesmeningitt (G02.0*)|B00.3†
hjernehinnebetennelse|B00.3†
Herpesencefalitt (G05.1*)|B00.4†
betennelse i hjerne|B00.4†
encephalitis|B00.4†
herpesencefalitt|B00.4†
hjernebetennelse|B00.4†
Okulær herpesvirussykdom|B00.5†
Disseminert herpesvirussykdom|B00.7
generalisert herpes simplexinfeksjon|B00.7
Andre spesifiserte former for herpesvirusinfeksjon|B00.8
herpes|B00.8
Uspesifisert herpesvirusinfeksjon|B00.9
herpes|B00.9
herpes simplexvirus|B00.9
Varicella[vannkopper]|B01
vannkopper|B01
Varicellameningitt (G02.0*)|B01.0†
hjernehinnebetennelse|B01.0†
vannkopper|B01.0†
Varicellaencefalitt (G05.1*)|B01.1†
betennelse i hjerne|B01.1†
encephalitis|B01.1†
hjernebetennelse|B01.1†
vannkopper|B01.1†
Varicellapneumoni (J17.1*)|B01.2†
lungebetennelse|B01.2†
vannkopper|B01.2†
Varicella med andre komplikasjoner|B01.8
vannkopper|B01.8
Varicella uten komplikasjoner|B01.9
vannkopper|B01.9
varicella|B01.9
Herpes zoster|B02
helvetesild|B02
Zosterencefalitt (G05.1*)|B02.0†
betennelse i hjerne|B02.0†
encephalitis|B02.0†
hjernebetennelse|B02.0†
Zostermeningitt (G02.0*)|B02.1†
hjernehinnebetennelse|B02.1†
Herpes zoster med annen affeksjon av nervesystemet|B02.2†
helvetesild|B02.2†
herpes zoster oticus|B02.2†
postherpetisk neuralgi|B02.2†
Herpes zoster-sykdom i øye|B02.3†
helvetesild|B02.3†
herpes zoster ophthalmicus|B02.3†
Disseminert herpes zoster|B02.7
helvetesild|B02.7
Herpes zoster med andre komplikasjoner|B02.8
helvetesild|B02.8
Herpes zoster uten komplikasjoner|B02.9
helvetesild|B02.9
herpes zoster|B02.9
herpes zoster labialis|B02.9
zoster|B02.9
KopperI 1980 fastslo den 33. Verdens helseforsamling at kopper var utryddet. Klassifikasjonen er opprettholdt av beredskapshensyn.|B03
Apekopper|B04
Meslinger|B05
Meslinger med encefalitt som komplikasjon (G05.1*)|B05.0†
betennelse i hjerne|B05.0†
encephalitis|B05.0†
hjernebetennelse|B05.0†
Meslinger med meningitt  som komplikasjon (G02.0*)|B05.1†
hjernehinnebetennelse|B05.1†
Meslinger med pneumoni  som komplikasjon (J17.1*)|B05.2†
lungebetennelse|B05.2†
Meslinger med mellomørebetennelse  som komplikasjon (H67.1*)|B05.3†
otitis media|B05.3†
Meslinger med intestinale komplikasjoner|B05.4
Meslinger med andre komplikasjoner|B05.8
Meslinger uten komplikasjoner|B05.9
Rubella[røde hunder]|B06
Rubella med nevrologiske  komplikasjoner|B06.0†
neuro|B06.0†
neurologisk|B06.0†
Rubella med andre komplikasjoner|B06.8
Rubella uten komplikasjoner|B06.9
Virusvorter|B07
Andre virusinfeksjoner kjennetegnet ved hud- og slimhinnelesjoner, ikke klassifisert annet sted|B08
cutan|B08
kutan|B08
Andre orthopoxvirusinfeksjoner|B08.0
Molluscum contagiosum|B08.1
Exanthema subitum[sjette barnesykdom]|B08.2
Erythema infectiosum[femte barnesykdom]|B08.3
Vesikulær stomatitt med eksantem som skyldes enterovirus|B08.4
hmf|B08.4
munnbetennelse|B08.4
stomatitis|B08.4
Vesikulær faryngitt  som skyldes enterovirus|B08.5
pharyngitis|B08.5
svelgbetennelse|B08.5
Andre spesifiserte virusinfeksjoner kjennetegnet ved hud- og slimhinnelesjoner|B08.8
cutan|B08.8
kutan|B08.8
Uspesifisert virusinfeksjon kjennetegnet ved hud- og slimhinnelesjoner|B09
cutan|B09
kutan|B09
Akutt hepatitt A|B15
leverbetennelse|B15
smittsom gulsott|B15
Virushepatitt|B15-B19
leverbetennelse|B15-B19
smittsom gulsott|B15-B19
virusleverbetennelse|B15-B19
Hepatitt A med leverkoma|B15.0
coma|B15.0
leverbetennelse|B15.0
smittsom gulsott|B15.0
Hepatitt A uten leverkoma|B15.9
coma|B15.9
hepatitt a|B15.9
leverbetennelse|B15.9
smittsom gulsott|B15.9
Akutt hepatitt B|B16
leverbetennelse|B16
smittsom gulsott|B16
Akutt hepatitt B med delta-agens (koinfeksjon) og leverkoma|B16.0
coma|B16.0
leverbetennelse|B16.0
smittsom gulsott|B16.0
Akutt hepatitt B med delta-agens (koinfeksjon) uten leverkoma|B16.1
coma|B16.1
leverbetennelse|B16.1
smittsom gulsott|B16.1
Akutt hepatitt B uten delta-agens med leverkoma|B16.2
coma|B16.2
leverbetennelse|B16.2
smittsom gulsott|B16.2
Akutt hepatitt B uten delta-agens og leverkoma|B16.9
aktiv hepatitt b|B16.9
coma|B16.9
hepatitt b|B16.9
leverbetennelse|B16.9
smittsom gulsott|B16.9
Annen akutt virushepatitt|B17
leverbetennelse|B17
smittsom gulsott|B17
virusleverbetennelse|B17
Akutt delta(super)infeksjon hos bærer av hepatitt B|B17.0
leverbetennelse|B17.0
smittsom gulsott|B17.0
Akutt hepatitt C|B17.1
aktiv c-hepatitt|B17.1
c-hepatitt|B17.1
hepatitt c|B17.1
leverbetennelse|B17.1
smittsom gulsott|B17.1
Akutt hepatitt E|B17.2
calici virushepatitt|B17.2
leverbetennelse|B17.2
smittsom gulsott|B17.2
Annen spesifisert akutt virushepatitt|B17.8
leverbetennelse|B17.8
smittsom gulsott|B17.8
virusleverbetennelse|B17.8
Akutt uspesifisert virushepatitt|B17.9
leverbetennelse|B17.9
smittsom gulsott|B17.9
virusleverbetennelse|B17.9
Kronisk virushepatitt|B18
leverbetennelse|B18
smittsom gulsott|B18
virusleverbetennelse|B18
Kronisk virushepatitt B med delta-agens|B18.0
leverbetennelse|B18.0
smittsom gulsott|B18.0
virusleverbetennelse|B18.0
Kronisk virushepatitt B uten delta-agens|B18.1
leverbetennelse|B18.1
smittsom gulsott|B18.1
virusleverbetennelse|B18.1
Kronisk virushepatitt C|B18.2
leverbetennelse|B18.2
smittsom gulsott|B18.2
virusleverbetennelse|B18.2
Annen spesifisert kronisk virushepatitt|B18.8
leverbetennelse|B18.8
smittsom gulsott|B18.8
virusleverbetennelse|B18.8
Uspesifisert kronisk virushepatitt|B18.9
leverbetennelse|B18.9
smittsom gulsott|B18.9
virusleverbetennelse|B18.9
Uspesifisert virushepatitt|B19
leverbetennelse|B19
smittsom gulsott|B19
virusleverbetennelse|B19
Uspesifisert virushepatitt med leverkoma|B19.0
coma|B19.0
leverbetennelse|B19.0
smittsom gulsott|B19.0
virusleverbetennelse|B19.0
Uspesifisert virushepatitt uten leverkoma|B19.9
coma|B19.9
leverbetennelse|B19.9
smittsom gulsott|B19.9
virushepatitt|B19.9
virusleverbetennelse|B19.9
Humant immunsviktvirus-sykdom [hiv-sykdom] , med infeksjonssykdommer og parasittsykdommer som følge|B20
aids|B20
las|B20
Humant immunsviktvirus-sykdom [hiv-sykdom]|B20-B24
las|B20-B24
Hiv-sykdom med mykobakterieinfeksjon|B20.0
las|B20.0
Hiv-sykdom med andre bakterieinfeksjoner|B20.1
las|B20.1
Hiv-sykdom med cytomegalovirussykdom|B20.2
las|B20.2
Hiv-sykdom med andre virusinfeksjoner|B20.3
las|B20.3
Hiv-sykdom med candidainfeksjon|B20.4
las|B20.4
Hiv-sykdom med andre soppsykdommer|B20.5
las|B20.5
mykose|B20.5
Hiv-sykdom med pneumoni som skyldes Pneumocystis jirovecii|B20.6
las|B20.6
lungebetennelse|B20.6
Hiv-sykdom med flere infeksjoner|B20.7
las|B20.7
Hiv-sykdom med andre spesifiserte infeksjons- og parasittsykdommer|B20.8
las|B20.8
Hiv-sykdom med uspesifisert infeksjons- eller parasittsykdom|B20.9
las|B20.9
Humant immunsviktvirus-sykdom [hiv-sykdom], med ondartede svulster som følge|B21
aids|B21
las|B21
tumor|B21
Hiv-sykdom med Kaposis sarkom|B21.0
las|B21.0
sarcoma kaposi|B21.0
Hiv-sykdom med Burkitt lymfom|B21.1
las|B21.1
Hiv-sykdom med andre typer non-Hodgkin lymfom|B21.2
las|B21.2
Hiv-sykdom med andre ondartede svulster i lymfoid, hematopoetisk og beslektet vev|B21.3
las|B21.3
tumor|B21.3
Hiv-sykdom med flere ondartede svulster|B21.7
las|B21.7
tumor|B21.7
Hiv-sykdom med andre spesifiserte ondartede svulster|B21.8
las|B21.8
tumor|B21.8
Hiv-sykdom med uspesifisert ondartet svulst|B21.9
las|B21.9
malign|B21.9
tumor|B21.9
Humant immunsviktvirus-sykdom [hiv-sykdom], med andre spesifiserte sykdommer som følge|B22
aids|B22
las|B22
Hiv-sykdom med encefalopati|B22.0
encephalopathia|B22.0
hiv-encefalopati|B22.0
hjerneskade|B22.0
las|B22.0
Hiv-sykdom med lymfoid interstitiell pneumonitt|B22.1
las|B22.1
lungebetennelse|B22.1
Hiv-sykdom med avmagringssyndrom|B22.2
aids wasting syndrome|B22.2
las|B22.2
Hiv-sykdom med flere sykdommer, klassifisert annet sted, som følge|B22.7
las|B22.7
Humant immunsviktvirus-sykdom [hiv-sykdom], med andre tilstander som følge|B23
aids|B23
las|B23
Akutt hiv-infeksjonssyndrom|B23.0
las|B23.0
Hiv-sykdom med (vedvarende) generalisert lymfadenopati|B23.1
las|B23.1
Hiv-sykdom med hematologiske og immunologiske abnormiteter, ikke klassifisert annet sted|B23.2
las|B23.2
Hiv-sykdom med andre spesifiserte tilstander som følge|B23.8
las|B23.8
Uspesifisert humant immunsviktvirus-sykdom [hiv-sykdom]|B24
aids|B24
ervervet immunsvikt|B24
ervervet immunsviktsykdom|B24
ervervet immunsvikttilstand|B24
hiv|B24
hiv-infeksjon|B24
humant immunsviktvirus|B24
las|B24
Cytomegalovirussykdom|B25
Andre virussykdommer|B25-B34
Cytomegaloviruspneumonitt (J17.1*)|B25.0†
cmv-pneumoni|B25.0†
lungebetennelse|B25.0†
viruslungebetennelse|B25.0†
Cytomegalovirushepatitt (K77.0*)|B25.1†
leverbetennelse|B25.1†
smittsom gulsott|B25.1†
virusleverbetennelse|B25.1†
Cytomegaloviruspankreatitt (K87.1*)|B25.2†
betennelse i bukspyttkjertel|B25.2†
pancreatitis|B25.2†
pancreatitt|B25.2†
Andre spesifiserte cytomegalovirussykdommer|B25.8
cmv-encefalitt|B25.8
Uspesifisert cytomegalovirussykdom|B25.9
cmv|B25.9
cmv-infeksjon|B25.9
cytomegalovirusinfeksjon|B25.9
Kusma (parotitis epidemica)|B26
parotitis epidemica|B26
Kusmaorkitt (N51.1*)|B26.0†
parotitis epidemica|B26.0†
testikkelbetennelse|B26.0†
Kusmameningitt (G02.0*)|B26.1†
hjernehinnebetennelse|B26.1†
parotitis epidemica|B26.1†
Kusmaencefalitt (G05.1*)|B26.2†
betennelse i hjerne|B26.2†
encephalitis|B26.2†
hjernebetennelse|B26.2†
parotitis epidemica|B26.2†
Kusmapankreatitt (K87.1*)|B26.3†
betennelse i bukspyttkjertel|B26.3†
pancreatitis|B26.3†
pancreatitt|B26.3†
parotitis epidemica|B26.3†
Kusma med andre komplikasjoner|B26.8
parotitis epidemica|B26.8
Kusma uten komplikasjoner|B26.9
parotitis epidemica|B26.9
Mononukleose (mononucleosis infectiosa)|B27
kyssesyke|B27
Gammaherpesvirusmononukleose|B27.0
kyssesyke|B27.0
Cytomegalovirusmononukleose|B27.1
kyssesyke|B27.1
Annen spesifisert mononukleose|B27.8
kyssesyke|B27.8
Uspesifisert mononukleose|B27.9
kyssesyke|B27.9
Viruskonjunktivitt (conjuntivitis viralis)|B30
conjunctivitis|B30
conjunctivitis viralis|B30
conjunctivitt|B30
øyekatarr|B30
Keratokonjunktivitt  som skyldes adenovirus (H19.2*)|B30.0†
conjunctivitis|B30.0†
conjunctivitt|B30.0†
keratoconjunctivitt|B30.0†
øyekatarr|B30.0†
Konjunktivitt  som skyldes adenovirus (H13.1*)|B30.1†
conjunctivitis|B30.1†
conjunctivitt|B30.1†
øyekatarr|B30.1†
Virus-faryngokonjunktivitt|B30.2
conjunctivitis|B30.2
conjunctivitt|B30.2
øyekatarr|B30.2
Akutt epidemisk hemoragisk  konjunktivitt  (enteroviral) (H13.1*)|B30.3†
conjunctivitis|B30.3†
conjunctivitt|B30.3†
haemorrhagisk|B30.3†
hemorragisk|B30.3†
hemorrhagisk|B30.3†
øyekatarr|B30.3†
Annen spesifisert viruskonjunktivitt (H13.1*)|B30.8†
conjunctivitis|B30.8†
conjunctivitis viralis|B30.8†
conjunctivitt|B30.8†
øyekatarr|B30.8†
Uspesifisert viruskonjunktivitt|B30.9
conjunctivitis|B30.9
conjunctivitis viralis|B30.9
conjunctivitt|B30.9
øyekatarr|B30.9
Andre virussykdommer, ikke klassifisert annet sted|B33
Epidemisk myalgi (myalgia epidemica)(pleurodynia epidemica)|B33.0
myoser|B33.0
«Ross River»-sykdom|B33.1
Viruskarditt|B33.2
carditt|B33.2
Retrovirusinfeksjoner, ikke klassifisert annet sted|B33.3
Hantavirus (kardio)-pulmonalt syndrom [HPS][HCPS](J17.1*)|B33.4†
lunge|B33.4†
Andre spesifiserte virussykdommer|B33.8
Virusinfeksjon med uspesifisert lokalisasjon|B34
Adenovirusinfeksjon med uspesifisert lokalisasjon|B34.0
Enterovirusinfeksjon med uspesifisert lokalisasjon|B34.1
Coronavirusinfeksjon med uspesifisert lokalisasjon|B34.2
Parvovirusinfeksjon med uspesifisert lokalisasjon|B34.3
Papovavirusinfeksjon med uspesifisert lokalisasjon|B34.4
Andre virusinfeksjoner med uspesifisert lokalisasjon|B34.8
